Date,Price,Open,High,Low,Vol.,Change %
3/9/2020,3252.60,3240.50,3252.60,3083.90,4920000.00,-0.02
3/10/2020,3252.60,3108.00,3252.60,3096.00,2310000.00,0.00
3/11/2020,3469.40,3228.50,3469.40,3108.00,1530000.00,0.07
3/12/2020,3228.50,3457.40,3457.40,3228.50,764900.00,-0.07
3/13/2020,3204.40,3011.60,3204.40,3011.60,2620000.00,-0.01
3/16/2020,3180.30,3108.00,3180.30,3011.60,2590000.00,-0.01
3/17/2020,3180.30,3011.60,3192.30,2999.60,1380000.00,0.00
3/18/2020,3132.10,3096.00,3180.30,3083.90,1180000.00,-0.02
3/19/2020,3120.10,3059.80,3120.10,2999.60,1630000.00,0.00
3/20/2020,3059.80,3047.80,3120.10,3023.70,730400.00,-0.02
3/23/2020,2855.00,2867.10,2891.20,2855.00,647500.00,-0.07
3/24/2020,2770.70,2662.30,2843.00,2662.30,1500000.00,-0.03
3/25/2020,2818.90,2770.70,2855.00,2710.50,1630000.00,0.02
3/26/2020,2770.70,2746.60,2770.70,2626.10,2390000.00,-0.02
3/27/2020,2758.70,2650.20,2770.70,2578.00,1500000.00,0.00
3/30/2020,2734.60,2590.00,2746.60,2565.90,1330000.00,-0.01
3/31/2020,2734.60,2602.10,2734.60,2578.00,1440000.00,0.00
4/1/2020,2674.30,2614.10,2746.60,2614.10,1050000.00,-0.02
4/3/2020,2686.40,2674.30,2746.60,2650.20,1900000.00,0.00
4/6/2020,2746.60,2686.40,2770.70,2674.30,4570000.00,0.02
4/7/2020,2722.50,2746.60,2746.60,2638.20,3040000.00,-0.01
4/8/2020,2650.20,2650.20,2698.40,2602.10,3000000.00,-0.03
4/9/2020,2770.70,2650.20,2830.90,2626.10,6170000.00,0.05
4/10/2020,2770.70,2794.80,2806.90,2698.40,4020000.00,0.00
4/13/2020,2734.60,2770.70,2818.90,2734.60,2920000.00,-0.01
4/14/2020,2710.50,2746.60,2746.60,2674.30,3200000.00,-0.01
4/15/2020,2734.60,2710.50,2782.80,2710.50,2810000.00,0.01
4/16/2020,2818.90,2746.60,2843.00,2698.40,4280000.00,0.03
4/17/2020,2951.40,2879.10,2951.40,2867.10,6160000.00,0.05
